2022-10-10 00:01:03.158 [main] INFO  com.example.servicea.ServiceAApplication - Starting ServiceAApplication using Java 1.8.0_271 on OverwinddeMacBook-Pro.local with PID 41588 (/Volumes/Data/Workspace/lab/springcloud-alibaba-demo/skywalking/ServiceA/target/classes started by overwind in /Volumes/Data/Workspace/lab/springcloud-alibaba-demo)
2022-10-10 00:01:03.164 [main] INFO  com.example.servicea.ServiceAApplication - No active profile set, falling back to 1 default profile: "default"
2022-10-10 00:01:04.333 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=dcd2cf22-34f6-35da-8b4d-3fd5faca3420
2022-10-10 00:01:04.835 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2022-10-10 00:01:04.851 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2022-10-10 00:01:04.853 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-10-10 00:01:04.853 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
2022-10-10 00:01:04.984 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-10-10 00:01:04.984 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1699 ms
2022-10-10 00:01:06.691 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2022-10-10 00:01:06.878 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2022-10-10 00:01:06.919 [main] INFO  com.example.servicea.ServiceAApplication - Started ServiceAApplication in 5.113 seconds (JVM running for 16.107)
2022-10-10 00:01:22.487 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-10-10 00:01:22.488 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-10-10 00:01:22.492 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 3 ms
2022-10-10 00:03:04.158 [main] INFO  com.example.servicea.ServiceAApplication - Starting ServiceAApplication using Java 1.8.0_271 on OverwinddeMacBook-Pro.local with PID 41762 (/Volumes/Data/Workspace/lab/springcloud-alibaba-demo/skywalking/ServiceA/target/classes started by overwind in /Volumes/Data/Workspace/lab/springcloud-alibaba-demo)
2022-10-10 00:03:04.162 [main] INFO  com.example.servicea.ServiceAApplication - No active profile set, falling back to 1 default profile: "default"
2022-10-10 00:03:05.275 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=dcd2cf22-34f6-35da-8b4d-3fd5faca3420
2022-10-10 00:03:05.740 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2022-10-10 00:03:05.752 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2022-10-10 00:03:05.753 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-10-10 00:03:05.753 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.65]
2022-10-10 00:03:05.874 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-10-10 00:03:05.874 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1639 ms
2022-10-10 00:03:06.708 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2022-10-10 00:03:06.747 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2022-10-10 00:03:06.757 [main] INFO  com.example.servicea.ServiceAApplication - Started ServiceAApplication in 3.874 seconds (JVM running for 11.486)
2022-10-10 00:03:15.779 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-10-10 00:03:15.780 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
